
DIA |MÊS |ANO  |MIN   |MAX   |MED   |Qo(W/m2) |Qo(mm/dia) |ETO |
2   |2   |2 |2,00 |2,00 |2,00 |2,00   |0,07      |0,00|
3   |2   |2 |22,00 |2,00 |2,00 |2,00   |0,07      |-1,#J|
4   |2   |2 |2,00 |2,00 |2,00 |2,00   |0,07      |0,00|
5   |2   |2 |2,00 |2,00 |2,00 |2,00   |0,07      |0,00|
6   |2   |2 |2,00 |2,00 |2,00 |2,00   |0,07      |0,00|
7   |2   |2 |2,00 |2,00 |2,00 |2,00   |0,07      |0,00|
8   |2   |2 |2,00 |2,00 |2,00 |2,00   |0,07      |0,00|
9   |2   |2 |2,00 |2,00 |2,00 |2,00   |0,07      |0,00|
10   |2   |2 |2,00 |2,00 |2,00 |2,00   |0,07      |0,00|
11   |2   |2 |2,00 |2,00 |2,00 |2,00   |0,07      |0,00|
12   |2   |2 |2,00 |2,00 |2,00 |2,00   |0,07      |0,00|
13   |2   |2 |2,00 |2,00 |2,00 |2,00   |0,07      |0,00|
14   |2   |2 |2,00 |2,00 |2,00 |2,00   |0,07      |0,00|
15   |2   |2 |2,00 |2,00 |2,00 |2,00   |0,07      |0,00|
16   |2   |2 |2,00 |2,00 |2,00 |2,00   |0,07      |0,00|
17   |2   |2 |2,00 |2,00 |2,00 |2,00   |0,07      |0,00|
18   |2   |2 |2,00 |2,00 |2,00 |2,00   |0,07      |0,00|
19   |2   |2 |2,00 |2,00 |2,00 |2,00   |0,07      |0,00|
20   |2   |2 |2,00 |2,00 |2,00 |2,00   |0,07      |0,00|
21   |2   |2 |2,00 |2,00 |2,00 |2,00   |0,07      |0,00|
22   |2   |2 |2,00 |2,00 |2,00 |2,00   |0,07      |0,00|
23   |2   |2 |2,00 |2,00 |2,00 |2,00   |0,07      |0,00|
24   |2   |2 |2,00 |2,00 |2,00 |2,00   |0,07      |0,00|
25   |2   |2 |2,00 |22,00 |22,00 |2,00   |0,07      |0,03|
26   |2   |2 |2,00 |2,00 |2,00 |2,00   |0,07      |0,00|
27   |2   |2 |22,00 |2,00 |2,00 |22,00   |0,76      |-1,#J|
28   |2   |2 |2,00 |2,00 |2,00 |2,00   |0,07      |0,00|
