    Mes   |   Tm  |   i     | ETp(mm) | ETp_corr(mm) |  Fc  |   a   |
 jan/2016 | 21,16 | 106,603 |  79,82  |     91,00    | 1,14 | 2,344 |
 fev/2016 | 20,83 | 104,097 |  78,00  |     78,00    | 1,00 | 2,284 |
 mar/2016 | 20,43 | 101,085 |  75,93  |     79,73    | 1,05 | 2,213 |
 abr/2016 | 17,57 | 80,450 |  64,59  |     62,66    | 0,97 | 1,787 |
 mai/2016 | 15,61 | 67,259 |  59,22  |     56,26    | 0,95 | 1,554 |
 jun/2016 | 13,31 | 52,838 |  54,35  |     48,91    | 0,90 | 1,324 |
 jul/2016 | 14,76 | 61,793 |  57,27  |     53,84    | 0,94 | 1,465 |
 ago/2016 | 14,73 | 61,603 |  57,21  |     56,64    | 0,99 | 1,462 |
 set/2016 | 17,24 | 78,173 |  63,58  |     63,58    | 1,00 | 1,745 |
 out/2016 | 17,47 | 79,758 |  64,28  |     70,07    | 1,09 | 1,774 |
 nov/2016 | 18,62 | 87,840 |  68,16  |     74,98    | 1,10 | 1,929 |
 dez/2016 | 20,45 | 101,235 |  76,03  |     88,20    | 1,16 | 2,217 |
